class,baseline,horizon,context_len,mae_median,mae_iqr
lorenz,ar5_ridge,96,128,7.790739505175129,3.1678288087789817
lorenz,persistence,96,64,5.904568789451756,2.342563885798655
lorenz,tail_linear,96,64,18.14567928202237,9.726284425797747
lorenz,full_context_linear,96,64,14.934125991110932,12.870115112305987
lorenz,context_mean,96,64,7.575425010618542,4.505168901889978
lorenz,ar5_ridge,96,64,9.024080162134721,35.74152220869328
lorenz,persistence,96,32,5.904568789451756,2.342563885798655
lorenz,tail_linear,96,32,18.14567928202237,9.726284425797747
lorenz,full_context_linear,96,32,19.60078871339727,6.386700837627693
lorenz,context_mean,96,32,6.47294295876144,2.5905395041914563
lorenz,ar5_ridge,96,32,241.92729340896355,9749.725712997923
lorenz,persistence,192,512,7.709607354439692,4.148294358786339
lorenz,tail_linear,192,512,30.50694059191877,24.519412463359153
lorenz,full_context_linear,192,512,7.344348263830723,2.74009407514672
lorenz,context_mean,192,512,7.036784674571792,1.4164237163029396
lorenz,ar5_ridge,192,512,10.548108907360703,1.459608047790713
lorenz,persistence,192,256,7.709607354439692,4.148294358786339
lorenz,tail_linear,192,256,30.50694059191877,24.519412463359153
lorenz,full_context_linear,192,256,8.25268397298132,2.104919496385415
lorenz,context_mean,192,256,6.659828210485816,2.3159471369964084
lorenz,ar5_ridge,192,256,9.700665770989417,2.3589047482014642
lorenz,persistence,192,128,7.709607354439692,4.148294358786339
lorenz,tail_linear,192,128,30.50694059191877,24.519412463359153
lorenz,full_context_linear,192,128,10.100367151583082,10.351469687913509
lorenz,context_mean,192,128,6.688171233939922,2.0613504031537895
lorenz,ar5_ridge,192,128,8.372434128151838,5.101756128495749
lorenz,persistence,192,64,7.709607354439692,4.148294358786339
lorenz,tail_linear,192,64,30.50694059191877,24.519412463359153
lorenz,full_context_linear,192,64,25.36112511033877,17.361401414655976
lorenz,context_mean,192,64,7.828158848756393,2.880240456262321
lorenz,ar5_ridge,192,64,9.971475858178588,344.4706165644113
lorenz,persistence,192,32,7.709607354439692,4.148294358786339
lorenz,tail_linear,192,32,30.50694059191877,24.519412463359153
lorenz,full_context_linear,192,32,33.38975394183114,13.524895131749755
lorenz,context_mean,192,32,7.77557465711651,4.9372633492417215
lorenz,ar5_ridge,192,32,496751.17353816575,5080451219.932624
lorenz,persistence,336,512,8.47616816813499,3.6387151655009236
lorenz,tail_linear,336,512,81.31353254597494,88.15529009403862
lorenz,full_context_linear,336,512,8.994203253905539,3.8214524141329136
lorenz,context_mean,336,512,7.121247890252212,1.076826467227976
lorenz,ar5_ridge,336,512,11.59240803695471,0.8070526842644199
lorenz,persistence,336,256,8.47616816813499,3.6387151655009236
lorenz,tail_linear,336,256,81.31353254597494,88.15529009403862
lorenz,full_context_linear,336,256,11.4949281613405,7.219033857521913
lorenz,context_mean,336,256,7.446820295511601,1.8766334963355105
lorenz,ar5_ridge,336,256,11.155124987954075,2.1813011337116883
lorenz,persistence,336,128,8.47616816813499,3.6387151655009236
lorenz,tail_linear,336,128,81.31353254597494,88.15529009403862
lorenz,full_context_linear,336,128,12.609234311945436,8.535805949446324
